date,open,high,low,close,volume,daily_return,cumulative_return
2023-10-04 05:30:00,5011.25,5019.2,4903.05,4918.6,256544,-0.0195058258330093,0.9804941741669907
2023-10-05 05:30:00,4935.0,5039.3,4925.1,5011.05,657876,0.0187959988614645,0.9989235415483061
2023-10-06 05:30:00,5120.0,5120.0,4997.5,5014.6,279352,0.0007084343600642,0.999631213308216
2023-10-09 05:30:00,4957.05,5068.7,4957.05,5007.3,244083,-0.0014557492123,0.9981760009568521
2023-10-10 05:30:00,5007.3,5064.0,5002.2,5037.5,307502,0.006031194456094,1.004196194520029
2023-10-11 05:30:00,5055.0,5095.0,5050.0,5064.4,575680,0.0053399503722084,1.0095585523627266
2023-10-12 05:30:00,5085.0,5151.0,5051.1,5106.6,472168,0.0083326751441434,1.017970875818557
2023-10-13 05:30:00,5089.95,5123.45,5040.0,5052.4,387366,-0.0106137155837544,1.0071664224700736
2023-10-16 05:30:00,5035.0,5099.4,5032.0,5076.7,158560,0.004809595439791,1.0120104855026963
2023-10-17 05:30:00,5083.0,5150.0,5070.0,5141.25,318565,0.0127149526267063,1.0248781508835931
2023-10-18 05:30:00,5150.0,5198.75,5125.65,5137.35,360985,-0.0007585703865791,1.0241007086684808
2023-10-19 05:30:00,5300.0,5495.0,5245.0,5482.6,2838352,0.0672039086299356,1.0929242791216898
2023-10-20 05:30:00,5450.0,5510.0,5436.9,5489.3,763919,0.0012220479334621,1.094259884978421
2023-10-23 05:30:00,5453.05,5493.4,5395.05,5405.4,451167,-0.015284280327182,1.077534910145621
2023-10-25 05:30:00,5385.0,5423.95,5332.3,5347.3,620266,-0.0107485107485106,1.0659530145820255
2023-10-26 05:30:00,5333.85,5347.45,5236.0,5259.35,746266,-0.016447552970658,1.048420695910455
2023-10-27 05:30:00,5265.0,5423.7,5265.0,5373.55,843465,0.0217137098690902,1.0711857987222042
2023-10-30 05:30:00,5388.0,5397.75,5275.0,5308.9,360967,-0.012031152590001,1.0582981989255353
2023-10-31 05:30:00,5340.0,5366.15,5292.6,5314.05,400987,0.0009700691291982,1.059324821337799
2023-11-01 05:30:00,5305.0,5449.5,5305.0,5344.35,619765,0.0057018658085641,1.0653649493167483
2023-11-02 05:30:00,5383.9,5392.85,5285.0,5318.4,304362,-0.0048555951612452,1.0601919684238856
2023-11-03 05:30:00,5357.0,5377.05,5316.6,5368.95,448715,0.009504738267148,1.070268815596687
2023-11-06 05:30:00,5380.0,5427.5,5377.1,5406.85,394137,0.0070591083917712,1.0778239591743168
2023-11-07 05:30:00,5406.85,5445.0,5405.3,5419.0,202689,0.0022471494493097,1.080245990690628
2023-11-08 05:30:00,5434.0,5435.25,5381.25,5397.6,202145,-0.0039490680937441,1.0759800257153969
2023-11-09 05:30:00,5421.8,5455.0,5382.15,5418.9,232773,0.0039461983103599,1.080226056274856
2023-11-10 05:30:00,5409.95,5427.05,5349.05,5392.05,149325,-0.004954880141726,1.0748736656400448
2023-11-12 05:30:00,5425.0,5455.0,5358.6,5442.55,29055,0.009365640155414,1.0849405456049603
2023-11-13 05:30:00,5435.0,5439.8,5395.55,5425.2,93497,-0.0031878439334503,1.0814819244684992
2023-11-15 05:30:00,5525.0,5555.0,5461.1,5536.7,640468,0.0205522377055222,1.1037087980544016
2023-11-16 05:30:00,5520.0,5583.3,5496.95,5550.9,324712,0.0025647046074375,1.106539485094041
2023-11-17 05:30:00,5556.9,5674.95,5479.35,5631.5,531539,0.0145201679007007,1.1226066242063615
2023-11-20 05:30:00,5610.05,5675.95,5606.0,5650.15,679425,0.0033117286690933,1.12632439274786
2023-11-21 05:30:00,5640.5,5707.35,5640.0,5685.95,746193,0.006336114970399,1.1334609135942753
2023-11-22 05:30:00,5680.0,5764.9,5661.3,5751.55,497403,0.0115372101407857,1.1465378903407795
2023-11-23 05:30:00,5800.0,5945.0,5783.1,5925.25,1118718,0.0302005546330987,1.181163970536934
2023-11-24 05:30:00,5940.0,5960.0,5900.0,5930.3,297211,0.0008522847137251,1.1821706585334253
2023-11-28 05:30:00,5969.8,6039.65,5912.0,5998.15,380535,0.0114412424329291,1.1956961596348017
2023-11-29 05:30:00,6010.0,6096.4,5973.3,6069.95,406974,0.0119703575269041,1.2100090701591766
2023-11-30 05:30:00,6095.0,6128.9,6031.0,6090.55,501833,0.0033937676587121,1.2141155598082312
2023-12-01 05:30:00,6050.0,6090.0,6003.3,6046.05,439023,-0.0073064008997545,1.2052447447896424
2023-12-04 05:30:00,6090.55,6217.7,6087.45,6201.7,359158,0.0257440808461721,1.2362726629389311
2023-12-05 05:30:00,6194.05,6194.05,6111.1,6140.1,565826,-0.0099327603721559,1.2239930628233118
2023-12-06 05:30:00,6089.05,6096.0,5987.85,6069.95,699201,-0.0114248953600104,1.2100090701591768
2023-12-07 05:30:00,6069.95,6154.45,6063.1,6093.6,427407,0.0038962429674049,1.2147235594892807
2023-12-08 05:30:00,6115.0,6120.0,6048.05,6075.7,233266,-0.0029375082053302,1.211155299066073
2023-12-11 05:30:00,6085.0,6145.0,6018.3,6138.4,175955,0.0103197985417318,1.223654177755186
2023-12-12 05:30:00,6164.0,6299.95,6149.95,6254.2,810900,0.0188648507754463,1.246738231219289
2023-12-13 05:30:00,6259.9,6329.0,6224.35,6316.1,373989,0.0098973489814844,1.2590776345822248
2023-12-14 05:30:00,6325.0,6360.0,6284.2,6334.85,419212,0.0029686040436345,1.2628153375394953
2023-12-15 05:30:00,6368.95,6402.1,6256.15,6275.2,553522,-0.0094161661286377,1.2509244585314316
2023-12-18 05:30:00,6275.2,6486.75,6262.15,6465.7,851061,0.0303575981642019,1.2888995205773006
2023-12-19 05:30:00,6470.0,6470.25,6395.9,6419.0,377109,-0.0072227291708554,1.2795901484117254
2023-12-20 05:30:00,6434.0,6466.0,6350.0,6364.45,385863,-0.0084982084436828,1.2687159246080395
2023-12-21 05:30:00,6333.2,6345.0,6232.0,6246.35,397717,-0.0185561988859994,1.2451733795811781
2023-12-22 05:30:00,6288.0,6395.0,6264.25,6372.1,237213,0.0201317569460564,1.270240907414606
2023-12-26 05:30:00,6379.85,6475.0,6370.05,6464.55,302139,0.0145085607570503,1.2886702747959216
2023-12-27 05:30:00,6470.0,6740.25,6465.2,6709.65,1017894,0.0379144720050119,1.3375295278533625
2023-12-28 05:30:00,6709.65,6738.65,6666.0,6703.3,406228,-0.0009463980982613,1.3362636924518339
2023-12-29 05:30:00,6729.95,6833.95,6666.0,6797.25,345626,0.0140154849104172,1.354992076069731
2024-01-01 05:30:00,6770.0,6795.5,6682.05,6701.1,253274,-0.0141454264592297,1.3358251353048476
2024-01-02 05:30:00,6711.0,6736.8,6560.95,6665.05,361379,-0.0053797137783349,1.328638778419002
2024-01-03 05:30:00,6644.05,7059.85,6604.0,6986.5,1256275,0.0482291955799281,1.3927179579184488
2024-01-04 05:30:00,7025.0,7028.95,6887.0,6922.15,619987,-0.0092106204823588,1.3798901613690961
2024-01-05 05:30:00,6950.0,7084.0,6920.5,6978.5,659306,0.0081405343715463,1.39112320465668
