date,open,high,low,close,volume,daily_return,cumulative_return
2023-10-04 05:30:00,1531.8,1537.9,1501.75,1522.1,2580901,-0.0099518667880839,0.9900481332119161
2023-10-05 05:30:00,1533.0,1550.8,1513.05,1537.95,1991367,0.0104132448590763,1.0003577468453233
2023-10-06 05:30:00,1545.0,1554.0,1540.35,1548.85,1743027,0.0070873565460514,1.0074476388708207
2023-10-09 05:30:00,1540.0,1541.25,1514.0,1515.2,2123175,-0.021725796558737,0.9855600364251333
2023-10-10 05:30:00,1521.45,1543.85,1519.2,1537.85,1956653,0.014948521647307,1.0002927019643553
2023-10-11 05:30:00,1540.0,1559.15,1540.0,1556.3,1536986,0.0119972689143934,1.0122934825029268
2023-10-12 05:30:00,1559.0,1570.05,1555.6,1566.65,1731806,0.0066503887425304,1.0190256276831011
2023-10-13 05:30:00,1560.5,1574.4,1550.3,1562.45,1465554,-0.0026808795838253,1.0162937426824508
2023-10-16 05:30:00,1562.85,1577.25,1558.5,1574.55,1089610,0.0077442478159299,1.0241641732795626
2023-10-17 05:30:00,1575.0,1583.9,1568.6,1576.6,997962,0.0013019592899559,1.025497593339404
2023-10-18 05:30:00,1576.6,1579.45,1561.75,1574.85,1212994,-0.0011099835088164,1.0243593079224662
2023-10-19 05:30:00,1553.35,1578.9,1553.35,1569.55,1239578,-0.0033653998793535,1.0209119292311692
2023-10-20 05:30:00,1566.0,1575.0,1545.1,1558.25,1435102,-0.007199515784779,1.0135618576818004
2023-10-23 05:30:00,1548.25,1574.9,1546.5,1565.15,4069167,0.0044280442804429,1.0180499544685835
2023-10-25 05:30:00,1574.0,1576.6,1547.0,1569.1,2510769,0.0025237197712677,1.020619227266814
2023-10-26 05:30:00,1554.0,1558.2,1500.0,1506.1,3343802,-0.0401504046905869,0.9796409522570573
2023-10-27 05:30:00,1508.35,1533.95,1507.3,1510.8,3341111,0.0031206427196068,0.982698061662547
2023-10-30 05:30:00,1502.1,1515.45,1463.2,1497.8,2637486,-0.0086047127349748,0.9742422271367243
2023-10-31 05:30:00,1494.2,1497.3,1455.55,1458.6,2555737,-0.0261717185204967,0.9487446337973201
2023-11-01 05:30:00,1464.9,1485.0,1450.0,1454.6,2627536,-0.0027423556835322,0.9461428385586054
2023-11-02 05:30:00,1465.0,1477.5,1452.5,1469.7,2091122,0.0103808607177231,0.9559646155847534
2023-11-03 05:30:00,1480.0,1488.1,1460.45,1469.0,2456723,-0.0004762876777574,0.9555093014179783
2023-11-06 05:30:00,1481.8,1492.2,1473.55,1488.3,1271868,0.0131381892443838,0.9680629634447767
2023-11-07 05:30:00,1488.25,1497.0,1475.0,1479.75,1940908,-0.0057448095142108,0.9625016261220241
2023-11-08 05:30:00,1485.05,1489.4,1474.0,1487.4,1342202,0.0051697921946274,0.967477559516066
2023-11-09 05:30:00,1487.4,1558.7,1487.4,1552.05,4831782,0.0434651068979425,1.0095290750617925
2023-11-10 05:30:00,1550.0,1551.0,1515.3,1524.1,4872228,-0.0180084404497278,0.9913490308312733
2023-11-12 05:30:00,1540.0,1540.0,1523.35,1526.25,340544,0.0014106685912997,0.9927474957720825
2023-11-13 05:30:00,1526.25,1543.3,1513.05,1540.25,1968032,0.0091728091728091,1.001853779107584
2023-11-15 05:30:00,1549.0,1550.8,1533.55,1544.15,2782942,0.0025320564843369,1.004390529465331
2023-11-16 05:30:00,1544.2,1583.95,1538.5,1569.5,3224223,0.0164167988861185,1.0208794067906855
2023-11-17 05:30:00,1575.0,1596.0,1572.65,1584.55,2035309,0.0095890410958903,1.0306686613763494
2023-11-20 05:30:00,1589.8,1589.8,1540.6,1552.2,2918577,-0.0204158909469565,1.0096266423832443
2023-11-21 05:30:00,1553.0,1571.4,1549.15,1559.75,2213144,0.00486406390929,1.0145375308963183
2023-11-22 05:30:00,1560.0,1564.65,1535.0,1543.45,1269475,-0.0104503926911363,1.003935215298556
2023-11-23 05:30:00,1556.6,1560.95,1535.1,1545.85,1552635,0.0015549580485274,1.0054962924417845
2023-11-24 05:30:00,1549.0,1559.5,1547.5,1553.2,1239270,0.0047546657178898,1.0102770911929229
2023-11-28 05:30:00,1553.2,1572.0,1542.15,1566.05,2596766,0.0082732423383979,1.0186353583972938
2023-11-29 05:30:00,1576.0,1623.4,1567.25,1619.1,3581220,0.0338750359183934,1.0531416677507477
2023-11-30 05:30:00,1615.05,1660.0,1613.7,1647.75,5214960,0.0176950157494906,1.071777026148042
2023-12-01 05:30:00,1656.0,1666.0,1621.2,1625.5,2489755,-0.0135032620239721,1.0573045401326913
2023-12-04 05:30:00,1662.85,1675.0,1639.45,1656.85,3001010,0.0192863734235619,1.0776961103161178
2023-12-05 05:30:00,1660.9,1708.0,1640.6,1686.05,3423953,0.017623804206778,1.0966892155587353
2023-12-06 05:30:00,1688.1,1710.45,1684.15,1702.4,2279220,0.0096972213160939,1.107324053596982
2023-12-07 05:30:00,1703.0,1706.0,1681.65,1692.65,2461051,-0.0057272086466165,1.100982177702615
2023-12-08 05:30:00,1699.0,1708.15,1662.55,1668.55,1942667,-0.0142380291259268,1.0853063613893588
2023-12-11 05:30:00,1674.0,1674.45,1647.1,1652.2,2037178,-0.00979892721225,1.0746715233511126
2023-12-12 05:30:00,1663.0,1670.0,1626.5,1635.4,2051527,-0.0101682605011499,1.063743983348511
2023-12-13 05:30:00,1639.0,1670.5,1629.55,1666.15,2247441,0.0188027393909746,1.0837452842461304
2023-12-14 05:30:00,1676.0,1709.85,1671.05,1703.55,3326228,0.0224469585571527,1.108072069728113
2023-12-15 05:30:00,1727.9,1739.6,1698.0,1724.95,3858594,0.0125620028763464,1.1219916742552367
2023-12-18 05:30:00,1720.0,1731.85,1698.75,1710.8,1739425,-0.008203136322792,1.1127878235982833
2023-12-19 05:30:00,1720.0,1723.85,1691.3,1699.35,1660221,-0.0066927753097966,1.1053401847274624
2023-12-20 05:30:00,1710.0,1711.95,1640.6,1646.95,3047660,-0.0308353193868242,1.0712566671002999
2023-12-21 05:30:00,1635.0,1653.15,1620.4,1633.85,3211338,-0.0079540969671211,1.062735787693509
2023-12-22 05:30:00,1630.0,1652.0,1622.75,1634.25,2751274,0.0002448205159593,1.0629959672173805
2023-12-26 05:30:00,1640.9,1669.0,1634.5,1662.25,1203594,0.0171332415481106,1.0812085338883834
2023-12-27 05:30:00,1670.0,1691.8,1660.25,1687.95,1793638,0.0154609715746729,1.0979250682971256
2023-12-28 05:30:00,1688.95,1739.95,1688.4,1734.45,2963938,0.0275482093663912,1.1281709379471843
2023-12-29 05:30:00,1730.0,1758.0,1715.0,1729.4,2273255,-0.0029115858052984,1.1248861714583072
2024-01-01 05:30:00,1729.4,1730.0,1699.0,1703.3,1307485,-0.0150919394009483,1.1079094575256936
2024-01-02 05:30:00,1703.6,1705.0,1649.45,1656.2,2857334,-0.0276522045441202,1.0772733185898278
2024-01-03 05:30:00,1672.0,1678.2,1648.05,1655.25,1927812,-0.0005736022219539,1.076655392220633
2024-01-04 05:30:00,1666.9,1674.45,1638.2,1641.7,2835768,-0.0081860746110858,1.0678418108494871
2024-01-05 05:30:00,1647.95,1661.5,1636.5,1642.0,1709313,0.0001827374063469,1.0680369454923906
2024-01-08 05:30:00,1648.15,1653.4,1606.1,1616.15,1492195,-0.0157429963459195,1.0512228437621969
2024-01-09 05:30:00,1625.0,1636.8,1615.0,1629.9,2542484,0.0085078736503418,1.0601665148952788
2024-01-10 05:30:00,1645.0,1647.45,1621.35,1632.8,1954233,0.001779250260752,1.062052816443347
2024-01-11 05:30:00,1643.9,1651.25,1625.85,1628.65,2228002,-0.0025416462518372,1.0593534538831806
2024-01-12 05:30:00,1630.0,1633.85,1601.5,1624.45,3061539,-0.0025788229515243,1.05662156888253
2024-01-15 05:30:00,1635.0,1640.9,1616.1,1635.55,1405514,0.0068330819662039,1.0638415506699632
2024-01-16 05:30:00,1638.0,1640.0,1617.55,1620.35,2236688,-0.009293509828498,1.0539547287628475
2024-01-17 05:30:00,1612.0,1615.0,1591.0,1597.7,2548169,-0.0139784614435152,1.0392220632236255
2024-01-18 05:30:00,1600.0,1623.3,1580.65,1617.25,2328588,0.0122363397383737,1.0519383374528435
2024-01-19 05:30:00,1624.95,1659.0,1622.25,1655.55,2836976,0.02368217653424,1.0768505268635367
2024-01-20 05:30:00,1660.5,1673.95,1616.0,1622.3,711300,-0.0200839600132886,1.0552231039417206
2024-01-23 05:30:00,1619.0,1647.6,1588.25,1595.2,2772880,-0.0167046785428095,1.0375959411994284
2024-01-24 05:30:00,1595.0,1632.3,1575.0,1628.1,2543323,0.020624373119358,1.058995707037857
2024-01-25 05:30:00,1631.6,1642.75,1603.9,1635.5,2038472,0.0045451753577789,1.0638090282294792
2024-01-29 05:30:00,1635.5,1645.0,1625.0,1640.0,3075670,0.0027514521553042,1.0667360478730332
2024-01-30 05:30:00,1649.95,1659.5,1614.45,1620.35,2569098,-0.0119817073170732,1.0539547287628472
2024-01-31 05:30:00,1615.05,1658.3,1609.05,1651.55,3154787,0.0192550992069615,1.0742487316248222
2024-02-01 05:30:00,1659.25,1702.6,1645.55,1651.15,4065784,-0.0002421967242892,1.073988552100951
2024-02-02 05:30:00,1655.0,1687.05,1650.0,1660.75,3304158,0.0058141295460738,1.080232860673866
2024-02-05 05:30:00,1676.7,1712.85,1665.1,1703.55,3525423,0.0257714887851874,1.1080720697281135
2024-02-06 05:30:00,1710.95,1730.0,1706.0,1727.65,2219874,0.014146928472895,1.1237478860413699
2024-02-07 05:30:00,1731.45,1752.0,1715.7,1721.0,1213661,-0.0038491592625822,1.1194224014570064
2024-02-08 05:30:00,1729.0,1743.9,1675.55,1685.9,2550690,-0.0203951191167924,1.096591648237285
2024-02-09 05:30:00,1686.0,1689.75,1628.0,1646.4,2033950,-0.0234296221602704,1.0708989202549772
2024-02-12 05:30:00,1654.0,1675.05,1640.55,1660.45,1197925,0.0085337706511174,1.0800377260309626
2024-02-13 05:30:00,1670.0,1679.4,1623.45,1646.75,2075130,-0.0082507753922129,1.0711265773383647
2024-02-14 05:30:00,1631.0,1679.65,1623.9,1657.05,4368695,0.0062547441931075,1.077826200078055
2024-02-15 05:30:00,1681.05,1784.9,1668.1,1765.05,9887134,0.0651760659002445,1.1480746715233523
