sector,yearly_return
ALUMINIUM,0.37748204478242514
AUTOMOBILES,0.5597513418079303
BANKING,0.13168862036970413
CEMENT,0.4007523842947473
DEFENCE,1.0226863521786103
ENERGY,0.3707663042423977
ENGINEERING,0.19015770786887953
FINANCE,0.1452179565054613
FMCG,0.04083074653298247
FOOD & TOBACCO,0.033035358636794604
INSURANCE,0.13457151951887006
MINING,0.4379232505643342
MISCELLANEOUS,0.21880466524150965
PAINTS,-0.22010158049149822
PHARMACEUTICALS,0.33068228736768296
POWER,0.6236652377344942
RETAILING,1.1672888785002458
SOFTWARE,0.3820700297173167
STEEL,0.21563549094649714
TELECOM,0.6979172301866378
TEXTILES,0.37615577703167874
UNKNOWN,0.06968560397131834
