symbol,yearly_return,volatility,avg_price,avg_volume
ADANIENT,-0.09612771050122713,0.02860052379250876,2955.063427561837,2357483.784452297
ADANIPORTS,0.37854717438758184,0.02602864345451262,1262.0425795053004,4822911.243816255
APOLLOHOSP,0.37399453183817427,0.014134574705070738,6195.209540636042,433052.44522968197
ASIANPAINT,-0.22010158049149822,0.01266467967092484,3018.8616607773856,1214598.335689046
AXISBANK,0.14750640349555535,0.015624964929158413,1126.7696113074205,9611063.989399293
BAJAJ-AUTO,0.9277131704143453,0.01760936993982149,8598.772261484099,502540.42402826855
BAJAJFINSV,0.04456624579948449,0.01411784954385696,1653.5577738515901,1571100.2544169612
BAJFINANCE,-0.1489804623092545,0.015918494897734437,7085.739752650177,1180022.2685512367
BEL,1.0226863521786103,0.02328339205987511,233.90459363957598,28505879.57243816
BHARTIARTL,0.6979172301866378,0.013624507728829253,1294.5277385159009,6177660.872791519
BPCL,0.6747715022263886,0.022068851102664957,285.887632508834,16190542.519434629
BRITANNIA,0.06968560397131834,0.013039218369984135,5253.486219081272,345298.0282685512
CIPLA,0.27372434771432247,0.016332415765760333,1431.1045936395758,1818460.777385159
COALINDIA,0.4379232505643342,0.02141144914790551,436.09823321554774,11927399.328621909
DRREDDY,0.12079626416626685,0.01249010021288581,1232.8194699646642,2062043.5088339222
EICHERMOT,0.46614131553412325,0.016098898407438056,4324.610600706713,633119.0
GRASIM,0.37615577703167874,0.014465113811981543,2356.426360424028,801393.0247349823
HCLTECH,0.5315235367673754,0.014294650681131683,1542.3238515901062,2982803.6219081273
HDFCBANK,0.14125069464875287,0.013489800405382245,1578.2803886925794,20050870.01060071
HDFCLIFE,0.10023980815347729,0.014630077258587218,642.3959363957597,4383098.229681979
HEROMOTOCO,0.6038875227915225,0.016563238026907057,4692.694876325088,733941.3074204947
HINDALCO,0.37748204478242514,0.019586836411430896,609.4535335689046,7006166.911660777
HINDUNILVR,-0.02496162051159356,0.01207389579606368,2533.9448763250884,1873694.1766784452
ICICIBANK,0.37417343153593896,0.012788897388104684,1110.660600706714,14962869.925795052
INDUSINDBK,-0.2876614572182972,0.01911119333525127,1442.3851590106008,3956009.328621908
INFY,0.3170284210890713,0.014491913053868169,1630.569081272085,6764633.363957597
ITC,0.08839715661545507,0.01194370245831958,454.6514134275618,14150792.583038868
JSWSTEEL,0.29176579434311395,0.01638393235672218,874.6611307420495,2229028.5795053
KOTAKBANK,0.02287970732557132,0.014215663882255607,1773.1185512367492,5335464.166077739
LT,0.19015770786887953,0.016963904150046456,3484.4941696113074,2415401.961130742
M&M,0.9794691544576571,0.01921277294878683,2253.7678445229685,3092495.9469964663
MARUTI,0.09218345870599629,0.013712493772447949,11636.182155477032,560641.74204947
NESTLEIND,-0.022326439341865862,0.012516833638236823,2491.032261484099,933945.8409893992
NTPC,0.5541143950669785,0.01947501170129666,346.6526501766785,16646138.865724381
ONGC,0.3439124487004104,0.022247312175683334,260.4431095406361,18678594.438162543
POWERGRID,0.69321608040201,0.018671442296664294,287.41007067137804,17552763.247349825
RELIANCE,0.09361496180039425,0.013562067130073322,1388.8688692579506,12585228.519434629
SBILIFE,0.16890323088426284,0.015113428426196404,1529.7143109540634,1349474.8303886927
SBIN,0.39198294243070353,0.017939344821740165,742.8671378091874,17415621.240282685
SHRIRAMFIN,0.5400680860261539,0.021686664608624,2573.933922261484,1417430.0106007068
SUNPHARMA,0.5975262502224595,0.011732822937748195,1529.1779151943463,2199825.367491166
TATACONSUM,0.1066231135775585,0.014804773668135264,1078.7935689045937,1730530.6077738516
TATAMOTORS,0.2891134289439374,0.017876505156417123,897.3098939929328,12110075.356890459
TATASTEEL,0.1395051875498803,0.018231639152358866,149.54102473498233,44031787.54063604
TCS,0.19980213412479694,0.013161771587106031,3953.6284452296813,2323747.0247349823
TECHM,0.45016597510373446,0.01601986887491891,1383.320671378092,2181216.7950530034
TITAN,0.04485813083226745,0.01413589303863014,3491.9455830388697,1143152.2650176678
TRENT,2.289719626168224,0.02307379893265212,4680.089575971731,883221.1590106008
ULTRACEMCO,0.4007523842947473,0.014314596706888186,10272.689752650178,352199.9151943463
WIPRO,0.4118300815016054,0.017467886281905244,484.81413427561847,7801824.187279152
